IcdCode,Complete_RD,Unique_RD
L93.1,ja,ja
L93.2,ja,nein
L94.8,ja,nein
L98.3,ja,ja
M02.30,ja,ja
M02.31,ja,ja
M02.32,ja,ja
M02.33,ja,ja
M02.34,ja,ja
M02.35,ja,ja
M02.36,ja,ja
M02.37,ja,ja
M02.38,ja,ja
M05.01,ja,ja
M05.02,ja,ja
M05.03,ja,ja
M05.04,ja,ja
M05.05,ja,ja
M05.06,ja,ja
M05.07,ja,ja
M05.08,ja,ja
M06.10,ja,ja
M06.11,ja,ja
M06.12,ja,ja
M06.13,ja,ja
M06.14,ja,ja
M06.15,ja,ja
M06.16,ja,ja
M06.17,ja,ja
M06.18,ja,ja
M06.89,ja,ja
M08.89,ja,nein
M08.90,ja,ja
M12.80,ja,ja
M25.94,ja,ja
M31.8,ja,ja
M32.0,ja,ja
M32.8,ja,ja
M34.1,ja,ja
M35.4,ja,ja
M35.6,ja,ja
M35.8+,ja,nein
M72.40,ja,ja
M72.41,ja,ja
M72.42,ja,ja
M72.43,ja,ja
M72.44,ja,ja
M72.45,ja,ja
M72.46,ja,ja
M72.47,ja,ja
M72.48,ja,ja
M72.49,ja,ja
M72.80,ja,ja
M85.00,ja,ja
M85.01,ja,ja
M85.02,ja,ja
M85.03,ja,ja
M85.04,ja,ja
M85.05,ja,ja
M85.06,ja,ja
M85.07,ja,ja
M85.08,ja,ja
M85.31,ja,ja
M85.42,ja,ja
M85.43,ja,ja
M85.44,ja,ja
M85.45,ja,ja
M85.46,ja,ja
M85.47,ja,ja
M85.49,ja,ja
M85.59,ja,ja
M85.81,ja,ja
M86.30,ja,ja
M86.39,ja,nein
M87.10,ja,nein
M87.11,ja,ja
M87.12,ja,ja
M87.13,ja,ja
M87.14,ja,ja
M87.15,ja,nein
M87.16,ja,ja
M87.17,ja,ja
M87.18,ja,ja
M87.19,ja,nein
M87.20,ja,ja
M87.21,ja,ja
M87.22,ja,ja
M87.23,ja,ja
M87.24,ja,ja
M87.25,ja,ja
M87.26,ja,ja
M87.27,ja,ja
M87.35,ja,ja
M87.85,ja,ja
M89.48,ja,ja
M89.50,ja,nein
M89.54,ja,ja
M89.58,ja,ja
M91.1,ja,ja
M93.0,ja,ja
M93.29,ja,nein
N05.5,ja,ja
N07.6,ja,nein
N07.8,ja,ja
N15.8+,ja,ja
N25.1,ja,ja
N48.30,ja,ja
O26.60,ja,ja
P24.0,ja,ja
P27.1,ja,ja
P35.0,ja,ja
P35.1,ja,ja
P35.2,ja,ja
P37.1+,ja,ja
P57.8,ja,ja
P70.2,ja,nein
P72.8,ja,ja
P74.5,ja,ja
P91.6,ja,ja
P94.0,ja,ja
Q01.0,ja,ja
Q01.1,ja,ja
Q01.2,ja,ja
Q04.4,ja,ja
Q04.5,ja,nein
Q06.2,ja,nein
Q20.2,ja,ja
Q22.6,ja,nein
Q24.2,ja,nein
Q24.6,ja,ja
Q28.18,ja,ja
Q28.21,ja,nein
Q28.28,ja,nein
Q31.5,ja,ja
Q32.0,ja,ja
Q43.1,ja,nein
Q44.2,ja,ja
Q44.4,ja,ja
Q45.1,ja,ja
Q45.2,ja,ja
Q51.0,ja,ja
Q51.4,ja,nein
Q51.5,ja,ja
Q54.2,ja,ja
Q54.3,ja,ja
Q55.5,ja,ja
Q60.1,ja,ja
Q60.2,ja,ja
Q61.5+,ja,nein
Q68.3,ja,ja
Q68.5,ja,ja
Q70.4,ja,nein
Q71.2,ja,ja
Q73.1,ja,ja
Q77.0,ja,nein
Q77.5,ja,nein
Q80.1,ja,nein
Q81.0+,ja,ja
Q82.08,ja,nein
Q84.3,ja,nein
Q86.80,ja,ja
Q87.3,ja,nein
Q87.5,ja,nein
Q90.0,ja,ja
Q90.1,ja,ja
Q92.7,ja,nein
Q96.3,ja,nein
Q96.4,ja,ja
Q96.8,ja,ja
T30.21,ja,ja
T30.3,ja,ja
T39.1,ja,ja
T40.5,ja,ja
T46.0,ja,ja
T51.1,ja,ja
T52.3,ja,ja
T57.2,ja,ja
T63.0,ja,ja
T63.2,ja,ja
T65.0,ja,ja
T85.78+,ja,ja
T86.01,ja,ja
T86.02,ja,ja
T86.05,ja,ja
T86.06,ja,ja
T86.07,ja,ja
T86.09,ja,ja
T88.3,ja,ja
U04.9,ja,ja
